Part Name,Part Number,VehicleMake,VehicleModel,VehicleYear,Stock,UnitCost,Supplier,Stock Location,Minimum Stock Level,Notes
A/C Compressor,AC006,Ford,Focus,2016,10,200,456 Parts Express,Shelf F,5, -
A/C Compressor,AC006,Subaru,Outback,2021,10,200,456 Parts Express,Shelf F,5,-
A/C Compressor,AC016,Subaru,Impreza,2020,12,220,456 Parts Express,Shelf F,8,-
A/C Compressor,AC026,Subaru,Forester,2019,9,240,456 Parts Express,Shelf F,5,-
A/C Compressor,AC036,Subaru,Crosstrek,2022,6,250,456 Parts Express,Shelf F,4,-
A/C Compressor,AC046,Subaru,Outback,2018,10,230,456 Parts Express,Shelf F,6,-
Air Filter,AF004,Chevrolet,Silverado,2018,30,15,DEF Parts Warehouse,Shelf D,10,Replace every 20,000 miles
Air Filter,AF004,Honda,Civic,2014,30,15,DEF Parts Warehouse,Shelf D,10,Replace every 20
Air Filter,AF014,Honda,Civic,2014,25,14,DEF Parts Warehouse,Shelf D,12,Replace every 15,000 miles
Air Filter,AF024,Chevrolet,Cruze,2018,35,12,DEF Parts Warehouse,Shelf D,15,Replace every 20,000 miles
Air Filter,AF034,Chevrolet,Traverse,2020,30,13,DEF Parts Warehouse,Shelf D,15,Replace every 15,000 miles
Air Filter,AF044,Chevrolet,Equinox,2019,28,12,DEF Parts Warehouse,Shelf D,15,Replace every 20,000 miles
Alternator,ALT010,Honda,Fit,2016,8,250,STU Auto Supplies,Shelf J,5, -
Alternator,ALT010,Hyundai,Sonata,2013,8,250,STU Auto Supplies,Shelf J,5,-
Alternator,ALT020,Chevrolet,Malibu,2015,6,280,STU Auto Supplies,Shelf J,4,-
Alternator,ALT030,Chevrolet,Impala,2014,7,270,STU Auto Supplies,Shelf J,5,-
Alternator,ALT040,Chevrolet,Camaro,2017,5,290,STU Auto Supplies,Shelf J,4,-
Alternator,ALT050,Chevrolet,Silverado,2017,4,260,STU Auto Supplies,Shelf J,3,-
Battery,BT005,Ford,Fusion,2019,20,100,GHI Auto Parts,Shelf E,15, -
Battery,BT005,Jeep,Wrangler,2012,20,100,GHI Auto Parts,Shelf E,15,-
Battery,BT015,Jeep,Cherokee,2019,18,120,GHI Auto Parts,Shelf E,10,-
Battery,BT025,Jeep,Grand Cherokee,2013,15,110,GHI Auto Parts,Shelf E,8,-
Battery,BT035,Jeep,Compass,2018,12,130,GHI Auto Parts,Shelf E,8,-
Battery,BT045,Jeep,Wrangler,2016,15,125,GHI Auto Parts,Shelf E,10,-
Brake Pads,BP001,Toyota,Camry,2015,50,25,ABC Parts Supplier,Shelf A,20,-
Brake Pads,BP001,Toyota,Corolla,2015,50,25,ABC Parts Supplier,Shelf A,20, -
Brake Pads,BP011,Ford,F-150,2017,35,30,ABC Parts Supplier,Shelf A,15,-
Brake Pads,BP021,Toyota,Corolla,2019,30,28,ABC Parts Supplier,Shelf A,12,-
Brake Pads,BP031,Toyota,Tacoma,2016,25,26,ABC Parts Supplier,Shelf A,10,-
Brake Pads,BP041,Toyota,Highlander,2018,22,24,ABC Parts Supplier,Shelf A,10,-
Headlight Assembly,HA009,Honda,Accord,2022,15,150,PQR Auto Parts,Shelf I,10,-
Headlight Assembly,HA009,Honda,Civic,2019,15,150,PQR Auto Parts,Shelf I,10, -
Headlight Assembly,HA019,Honda,Civic,2020,20,170,PQR Auto Parts,Shelf I,15,-
Headlight Assembly,HA029,Ford,Explorer,2015,25,160,PQR Auto Parts,Shelf I,10,-
Headlight Assembly,HA039,Honda,CR-V,2021,18,180,PQR Auto Parts,Shelf I,10,-
Headlight Assembly,HA049,Ford,Mustang,2022,22,160,PQR Auto Parts,Shelf I,12,-
Oil Filter,OF002,Ford,Mustang,2010,100,5,XYZ Auto Parts,Shelf B,50,Replace every 5
Oil Filter,OF002,Honda,Civic,2010,100,5,XYZ Auto Parts,Shelf B,50,Replace every 5,000 miles
Oil Filter,OF012,Toyota,Camry,2018,80,6,XYZ Auto Parts,Shelf B,40,Replace every 7,500 miles
Oil Filter,OF022,Honda,Accord,2014,95,7,XYZ Auto Parts,Shelf B,45,Replace every 5,000 miles
Oil Filter,OF032,Honda,Pilot,2019,70,6.50,XYZ Auto Parts,Shelf B,35,Replace every 7,500 miles
Oil Filter,OF042,Honda,Accord,2013,85,6.50,XYZ Auto Parts,Shelf B,40,Replace every 5,000 miles
Spark Plugs,SP003,BMW,Serie 3,2018,75,8,123 Auto Supplies,Shelf C,30, -
Spark Plugs,SP003,Ford,Mustang,2014,75,8,123 Auto Supplies,Shelf C,30,-
Spark Plugs,SP013,Chevrolet,Equinox,2016,65,9,123 Auto Supplies,Shelf C,25,-
Spark Plugs,SP023,Ford,Fusion,2016,70,10,123 Auto Supplies,Shelf C,28,-
Spark Plugs,SP033,Ford,Escape,2015,60,9.50,123 Auto Supplies,Shelf C,25,-
Spark Plugs,SP043,Ford,F-150,2014,55,9,123 Auto Supplies,Shelf C,22,-
Transmission Fluid,TF007,Toyota,Corolla,2015,40,12,JKL Auto Components,Shelf G,25,-
Transmission Fluid,TF007,Toyota,Hilux,2012,40,12,JKL Auto Components,Shelf G,25, -
Transmission Fluid,TF017,Ford,Escape,2017,45,11,JKL Auto Components,Shelf G,30,-
Transmission Fluid,TF027,Honda,CR-V,2017,50,10,JKL Auto Components,Shelf G,30,-
Transmission Fluid,TF037,Toyota,Sienna,2016,35,9.50,JKL Auto Components,Shelf G,20,-
Transmission Fluid,TF047,Toyota,Camry,2014,38,10.50,JKL Auto Components,Shelf G,25,-
Wiper Blades,WB008,Mazda,CX-5,2019,60,18,MNO Auto Accessories,Shelf H,30,-
Wiper Blades,WB008,Volkswagen,Gol,2017,60,18,MNO Auto Accessories,Shelf H,30, -
Wiper Blades,WB018,Toyota,Rav4,2016,70,20,MNO Auto Accessories,Shelf H,35,-
Wiper Blades,WB028,Toyota,Highlander,2021,80,22,MNO Auto Accessories,Shelf H,40,-
Wiper Blades,WB038,Ford,Ranger,2020,75,19,MNO Auto Accessories,Shelf H,35,-
Wiper Blades,WB048,Honda,Civic,2016,65,17,MNO Auto Accessories,Shelf H,30,-